symbol,set_id,strategy,action,entry_price,stop_loss,take_profit,position_size,dollar_risk,exit_price,exit_reason,r_multiple,pnl
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1936.82,1947.240357,1803.05,1.00648405,10.4879,1921.32,MTF_CHOCH_EXIT,1.4875,15.6005
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1921.32,1943.150893,1803.05,0.48756266,10.6439,1917.17,MTF_CHOCH_EXIT,0.1901,2.0234
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1917.17,1939.841786,1803.05,0.47037151,10.6642,1939.841786,SL_HIT,-1.0,-10.6642
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1939.93,1945.472143,1803.05,1.90495279,10.5575,1945.472143,SL_HIT,-1.0,-10.5575
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1933.2,1959.270179,1803.05,0.40091575,10.4519,1949.84,MTF_CHOCH_EXIT,-0.6383,-6.6712
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1949.84,1960.127857,1803.05,1.00946512,10.3852,1926.76,MTF_CHOCH_EXIT,2.2434,23.2985
ETHUSDT,SET_3_SWING,A_PULLBACK_RIDING,SELL,1880.67,1892.216071,1803.05,0.91963899,10.6182,1876.12,MTF_CHOCH_EXIT,0.3941,4.1844
ETHUSDT,SET_3_SWING,A_PULLBACK_RIDING,SELL,1876.12,1891.9175,1803.05,0.67479418,10.6601,1891.9175,SL_HIT,-1.0,-10.6601
ETHUSDT,SET_3_SWING,A_PULLBACK_RIDING,SELL,1895.98,1912.736071,1803.05,0.62982904,10.5535,1888.07,MTF_CHOCH_EXIT,0.4721,4.9819
ETHUSDT,SET_3_SWING,A_PULLBACK_RIDING,SELL,1859.49,1872.198393,1803.05,0.83435254,10.6033,1860.34,MTF_CHOCH_EXIT,-0.0669,-0.7092
ETHUSDT,SET_3_SWING,A_PULLBACK_RIDING,SELL,1868.68,1873.596071,1848.09,2.15541781,10.5962,1867.99,MTF_CHOCH_EXIT,0.1404,1.4872
ETHUSDT,SET_3_SWING,A_PULLBACK_RIDING,SELL,1873.06,1876.467679,1848.09,3.11386772,10.6111,1876.467679,SL_HIT,-1.0,-10.6111
ETHUSDT,SET_3_SWING,A_PULLBACK_RIDING,SELL,1875.48,1878.397321,1848.09,3.60088867,10.5049,1872.23,MTF_CHOCH_EXIT,1.114,11.7029
ETHUSDT,SET_3_SWING,A_PULLBACK_RIDING,SELL,1872.65,1878.402679,1848.09,1.84644048,10.622,1878.402679,SL_HIT,-1.0,-10.622
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,BUY,1886.57,1877.094821,1956.45,1.1098217,10.5158,1916.2,MTF_CHOCH_EXIT,3.1271,32.884
ETHUSDT,SET_4_INTRADAY,A_PULLBACK_RIDING,BUY,1861.92,1856.060536,1946.52,1.70664066,10.0,1862.4,MTF_CHOCH_EXIT,0.0819,0.8192
ETHUSDT,SET_4_INTRADAY,A_PULLBACK_RIDING,BUY,1861.45,1858.269275,1946.52,3.14651278,10.0082,1860.49,MTF_CHOCH_EXIT,-0.3018,-3.0207
ETHUSDT,SET_4_INTRADAY,A_PULLBACK_RIDING,BUY,1860.49,1858.269755,1946.52,4.49409203,9.978,1858.269755,SL_HIT,-1.0,-9.978
ETHUSDT,SET_4_INTRADAY,A_PULLBACK_RIDING,BUY,1870.65,1857.234675,1946.52,0.7363374,9.8782,1868.0,MTF_CHOCH_EXIT,-0.1975,-1.9513
ETHUSDT,SET_4_INTRADAY,A_PULLBACK_RIDING,BUY,1866.47,1864.886765,1877.33,6.22692939,9.8587,1864.886765,SL_HIT,-1.0,-9.8587
ETHUSDT,SET_4_INTRADAY,A_PULLBACK_RIDING,BUY,1866.16,1863.61692,1877.33,3.83790743,9.7601,1863.61692,SL_HIT,-1.0,-9.7601
ETHUSDT,SET_4_INTRADAY,A_PULLBACK_RIDING,BUY,1868.6,1863.167321,1946.52,1.77858941,9.6625,1867.36,MTF_CHOCH_EXIT,-0.2282,-2.2055
ETHUSDT,SET_4_INTRADAY,A_PULLBACK_RIDING,BUY,1867.36,1863.154821,1946.52,2.29251859,9.6405,1873.49,MTF_CHOCH_EXIT,1.4577,14.0531
ETHUSDT,SET_4_INTRADAY,A_PULLBACK_RIDING,BUY,1873.49,1863.149821,1946.52,0.94591998,9.781,1874.4,MTF_CHOCH_EXIT,0.088,0.8608
ETHUSDT,SET_4_INTRADAY,A_PULLBACK_RIDING,BUY,1872.08,1867.654821,1946.52,2.2122473,9.7896,1870.47,MTF_CHOCH_EXIT,-0.3638,-3.5617
ETHUSDT,SET_4_INTRADAY,B_CONTINUATION_RIDING,BUY,1870.47,1867.184821,1946.52,2.96908431,9.754,1867.184821,SL_HIT,-1.0,-9.754
ETHUSDT,SET_4_INTRADAY,B_CONTINUATION_RIDING,BUY,1868.61,1866.036071,1946.52,3.75163186,9.6564,1866.036071,SL_HIT,-1.0,-9.6564
ETHUSDT,SET_4_INTRADAY,B_CONTINUATION_RIDING,BUY,1866.8,1864.931964,1946.52,5.11760457,9.5599,1864.931964,SL_HIT,-1.0,-9.5599
ETHUSDT,SET_4_INTRADAY,B_CONTINUATION_RIDING,BUY,1871.57,1856.525179,1946.52,0.62907157,9.4643,1856.525179,SL_HIT,-1.0,-9.4643
